"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 01- 15","1,292.09","1,314.29","1,316.04","1,287.17","12.25K","-0.70%"
"2016- 01- 14","1,301.17","1,285.78","1,303.11","1,281.42","10.66K","-0.08%"
"2016- 01- 13","1,302.20","1,302.92","1,309.79","1,298.76","8.54K","0.75%"
"2016- 01- 12","1,292.54","1,302.04","1,308.97","1,289.19","10.15K","-0.13%"
"2016- 01- 11","1,294.20","1,304.30","1,307.18","1,294.20","10.14K","-2.09%"
"2016- 01- 08","1,321.76","1,312.99","1,326.39","1,306.76","10.19K","0.08%"
"2016- 01- 07","1,320.74","1,317.25","1,335.03","1,316.26","10.48K","-0.29%"
"2016- 01- 06","1,324.62","1,344.82","1,344.82","1,317.19","9.84K","-1.24%"
"2016- 01- 05","1,341.28","1,324.13","1,348.49","1,323.53","8.72K","1.25%"
"2016- 01- 04","1,324.74","1,361.89","1,363.20","1,324.74","8.03K","-3.04%"
