"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 01- 15","377.34","376.46","378.81","374.79","6.81K","0.69%"
"2014- 01- 14","374.75","379.29","381.53","373.37","8.45K","-2.05%"
"2014- 01- 13","382.60","380.23","383.83","375.37","7.09K","0.58%"
"2014- 01- 10","380.40","376.86","383.57","376.13","7.87K","1.49%"
"2014- 01- 09","374.81","368.82","378.32","366.95","9.06K","1.72%"
"2014- 01- 08","368.47","367.82","370.17","364.49","6.24K","1.23%"
"2014- 01- 07","363.98","362.80","366.99","362.21","6.29K","0.38%"
"2014- 01- 06","362.62","373.15","373.15","362.11","6.42K","-3.13%"
"2014- 01- 03","374.32","379.69","379.88","370.68","5.51K","-1.31%"
"2014- 01- 02","379.27","387.63","389.75","379.22","5.77K","-1.29%"
"2013- 12- 30","384.23","381.32","385.32","381.02","8.28K","1.21%"
"2013- 12- 27","379.63","372.39","379.69","370.71","7.56K","2.24%"
"2013- 12- 26","371.31","374.15","375.36","370.88","3.97K","-0.37%"
"2013- 12- 24","372.69","370.88","373.88","369.36","5.31K","0.74%"
"2013- 12- 23","369.96","367.16","371.73","366.35","8.66K","1.44%"
"2013- 12- 20","364.70","360.98","365.06","360.98","7.34K","1.06%"
"2013- 12- 19","360.87","370.17","370.17","359.53","6.01K","-1.18%"
"2013- 12- 18","365.17","361.38","367.21","359.53","5.12K","1.10%"
"2013- 12- 17","361.19","364.71","364.71","358.64","6.51K","-0.21%"
"2013- 12- 16","361.95","361.88","363.86","359.74","4.21K","-0.06%"
"2013- 12- 13","362.18","366.87","366.87","359.80","10.10K","-1.64%"
"2013- 12- 12","368.23","369.46","371.82","366.70","19.69K","-1.58%"
"2013- 12- 11","374.16","377.88","379.15","373.68","7.25K","-0.98%"
"2013- 12- 10","377.85","380.75","380.80","377.14","7.09K","-0.68%"
"2013- 12- 09","380.43","381.45","382.45","379.61","4.19K","0.95%"
"2013- 12- 06","376.85","380.14","382.13","376.85","3.30K","-0.71%"
"2013- 12- 05","379.55","381.43","382.16","377.97","3.66K","-0.46%"
"2013- 12- 04","381.30","384.50","386.89","381.30","4.12K","-1.40%"
"2013- 12- 03","386.70","389.64","390.68","386.70","5.57K","-1.26%"
"2013- 12- 02","391.64","397.54","398.96","391.33","3.28K","-1.63%"
"2013- 11- 29","398.11","393.68","399.80","393.28","3.19K","1.04%"
"2013- 11- 28","394.00","393.55","397.58","393.31","3.88K","0.37%"
"2013- 11- 27","392.54","390.63","393.23","388.25","4.65K","0.41%"
"2013- 11- 26","390.95","386.54","390.95","383.27","5.90K","0.31%"
"2013- 11- 25","389.73","392.50","395.59","389.59","5.04K","1.98%"
"2013- 11- 22","382.17","380.82","383.11","377.80","6.30K","0.63%"
"2013- 11- 21","379.79","388.53","388.53","375.34","6.27K","-2.29%"
"2013- 11- 20","388.69","395.79","396.24","387.73","5.41K","-1.84%"
"2013- 11- 19","395.98","391.96","398.48","391.75","3.95K","0.96%"
"2013- 11- 18","392.21","394.91","396.18","391.99","2.68K","-0.14%"
"2013- 11- 15","392.76","386.71","396.39","386.69","4.95K","2.20%"
"2013- 11- 14","384.30","389.01","390.03","383.70","3.11K","-0.79%"
"2013- 11- 13","387.35","392.66","394.87","385.63","3.13K","-1.55%"
"2013- 11- 12","393.44","392.94","396.46","392.16","2.87K","0.03%"
"2013- 11- 11","393.32","399.62","400.37","392.26","2.79K","-0.95%"
"2013- 11- 08","397.09","397.96","400.21","396.18","3.85K","-0.91%"
"2013- 11- 07","400.74","404.04","407.52","400.74","3.69K","-0.87%"
"2013- 11- 06","404.26","404.38","406.79","403.21","5.32K","-0.15%"
"2013- 11- 05","404.86","411.27","411.27","403.79","9.95K","-1.54%"
"2013- 11- 04","411.19","416.19","417.80","410.95","3.51K","-1.33%"
"2013- 11- 01","416.74","420.61","423.15","415.36","4.56K","-0.62%"
"2013- 10- 31","419.32","426.38","427.73","419.32","4.06K","-2.22%"
"2013- 10- 30","428.86","426.71","429.42","423.52","3.62K","1.25%"
"2013- 10- 29","423.58","421.43","424.86","420.11","3.48K","0.30%"
"2013- 10- 28","422.32","420.38","424.04","416.58","2.95K","0.18%"
"2013- 10- 25","421.57","426.22","426.39","419.34","2.97K","-0.90%"
"2013- 10- 24","425.40","424.69","426.43","421.42","3.63K","0.43%"
"2013- 10- 23","423.56","432.25","435.04","422.93","5.00K","-1.60%"
"2013- 10- 22","430.44","426.28","431.06","425.61","4.73K","0.97%"
"2013- 10- 21","426.30","428.96","429.35","422.34","4.57K","-1.08%"
"2013- 10- 18","430.96","421.34","430.96","421.06","5.87K","0.56%"
"2013- 10- 17","428.57","432.62","434.39","425.31","5.50K","-0.21%"
"2013- 10- 16","429.46","433.65","437.13","428.21","4.31K","-1.43%"
