"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 04- 01","731.93","726.13","732.67","724.22","12.89M","-0.32%"
"2022- 03- 31","734.28","723.97","736.91","723.97","15.03M","1.60%"
"2022- 03- 30","722.72","725.63","726.86","720.44","14.17K","-0.51%"
"2022- 03- 29","726.43","728.75","733.46","723.97","16.30M","-0.06%"
"2022- 03- 28","726.85","715.43","728.82","712.71","16.15M","1.01%"
"2022- 03- 25","719.60","719.89","721.96","715.87","14.02M","-0.20%"
"2022- 03- 24","721.07","713.69","722.88","711.05","14.98M","0.10%"
"2022- 03- 23","720.37","708.67","722.19","708.67","17.84M","2.34%"
"2022- 03- 22","703.92","693.14","705.39","693.14","14.71M","1.94%"
"2022- 03- 21","690.55","696.26","696.60","688.94","12.35M","-0.76%"
"2022- 03- 18","695.83","693.14","695.98","685.62","29.56M","0.28%"
"2022- 03- 17","693.88","698.84","703.83","693.88","25.82M","1.14%"
"2022- 03- 16","686.04","685.85","686.60","680.35","16.27M","0.41%"
"2022- 03- 15","683.22","677.75","686.93","677.68","19.90M","0.95%"
"2022- 03- 14","676.79","669.69","680.51","668.60","14.91M","0.65%"
"2022- 03- 11","672.41","665.96","672.41","665.37","17.17M","0.41%"
"2022- 03- 10","669.67","667.76","672.31","665.79","23.96M","2.30%"
"2022- 03- 08","654.60","654.31","658.74","649.54","19.42M","-1.48%"
"2022- 03- 07","664.41","678.96","678.96","661.79","24.56M","-3.34%"
"2022- 03- 04","687.35","689.87","690.07","681.70","14.25M","-1.05%"
"2022- 03- 03","694.64","688.57","695.87","686.74","16.63M","1.66%"
"2022- 03- 02","683.32","693.54","693.54","681.03","25.70M","-2.55%"
"2022- 02- 28","701.21","698.59","701.51","692.56","29.79M","0.43%"
"2022- 02- 25","698.23","705.34","707.36","692.73","20.68M","-1.15%"
"2022- 02- 24","706.36","713.93","716.12","701.58","20.38M","-1.87%"
"2022- 02- 23","719.79","726.88","727.90","718.60","14.80M","-0.16%"
"2022- 02- 22","720.95","723.34","723.34","713.18","21.86M","-1.43%"
"2022- 02- 21","731.43","727.28","732.63","725.75","12.94M","-0.93%"
"2022- 02- 18","738.30","732.20","740.90","730.04","16.55M","-0.52%"
"2022- 02- 17","742.15","734.01","747.92","732.19","25.78M","1.33%"
"2022- 02- 16","732.38","727.04","732.48","719.25","18.78M","1.33%"
"2022- 02- 15","722.80","724.43","729.59","718.72","18.23M","-0.63%"
"2022- 02- 14","727.39","731.07","733.48","720.97","21.59M","-1.47%"
"2022- 02- 11","738.21","728.90","739.05","722.33","45.52M","0.67%"
"2022- 02- 10","733.31","739.01","739.56","727.31","28.67M","0.15%"
"2022- 02- 09","732.20","716.38","732.20","716.38","26.96M","3.06%"
"2022- 02- 08","710.44","713.54","718.86","705.01","19.24M","0.25%"
"2022- 02- 07","708.69","709.34","710.23","702.01","22.21M","0.25%"
"2022- 02- 04","706.89","696.54","707.45","693.94","19.95M","2.06%"
"2022- 02- 03","692.62","685.90","698.13","685.60","21.52M","1.39%"
"2022- 01- 28","683.15","678.34","684.98","673.33","23.15M","1.63%"
"2022- 01- 27","672.21","685.20","687.97","665.62","25.30M","-1.90%"
"2022- 01- 26","685.20","679.02","687.61","676.52","21.37M","1.96%"
"2022- 01- 25","672.02","684.71","686.85","667.52","24.78M","-2.78%"
"2022- 01- 24","691.24","705.98","707.11","685.14","18.62M","-2.10%"
"2022- 01- 21","706.05","697.78","706.05","694.12","19.28M","0.73%"
"2022- 01- 20","700.92","716.28","717.00","699.23","22.16M","-2.09%"
"2022- 01- 19","715.89","709.19","725.79","708.13","25.11M","0.79%"
"2022- 01- 18","710.27","715.60","716.51","705.80","18.59M","-0.19%"
"2022- 01- 17","711.59","718.68","718.78","708.29","18.61M","-1.37%"
"2022- 01- 14","721.50","725.09","727.53","713.07","29.22M","-1.01%"
"2022- 01- 13","728.88","725.78","728.88","723.01","25.01M","0.34%"
"2022- 01- 12","726.42","714.98","726.48","713.01","30.75M","1.79%"
"2022- 01- 11","713.63","706.70","716.49","705.99","36.52M","1.03%"
"2022- 01- 10","706.32","690.16","707.64","690.15","39.21M","2.45%"
"2022- 01- 07","689.46","684.48","689.57","679.54","17.13M","0.61%"
"2022- 01- 06","685.30","689.16","693.24","683.19","20.81M","-0.66%"
"2022- 01- 05","689.88","689.75","693.39","686.61","27.45M","0.21%"
"2022- 01- 04","688.45","683.81","688.45","679.70","16.63M","0.99%"
