Date,Close,Open,High,Low,Volume
2018-05-11,847.93,841.83,851.96,841.49,22210000
2018-05-10,840.56,838.52,848.01,836.06,15010000
2018-05-09,834.88,833.07,838.99,828.21,16480000
2018-05-08,836.5,838.65,841.85,833.67,15660000
2018-05-04,840.2,835.77,846.75,832.82,21780000
2018-05-03,847.41,852.82,853.17,845.62,12820000
2018-05-02,853.14,861.13,861.34,849.69,18300000
2018-04-30,860.62,858.52,865.11,857.99,12730000
2018-04-27,852.19,856.46,864.89,850.71,17940000
2018-04-26,852.25,850.41,857.51,848.3,15460000
2018-04-25,848.76,850.76,855.34,846.21,13430000
2018-04-24,856.24,845.4,859.2,842.45,21390000
2018-04-23,843.0,829.67,843.82,825.32,18210000
2018-04-20,827.22,832.28,836.54,822.85,13550000
2018-04-19,828.43,826.41,830.73,824.31,16469999
2018-04-18,825.49,817.65,827.45,817.65,18410000
2018-04-17,818.81,828.54,830.7,818.33,13650000
2018-04-16,822.77,825.43,827.58,817.0,10990000
2018-04-13,823.1,817.8,828.17,817.62,19300000
2018-04-12,811.79,810.87,821.27,810.85,17680000
2018-04-11,808.06,806.89,813.54,803.75,18380000
2018-04-10,811.48,796.46,814.27,791.79,19740000
2018-04-09,800.47,798.99,801.89,793.01,19400000
2018-04-06,805.86,802.86,807.96,800.78,33259999
2018-04-05,803.2,809.06,810.53,798.27,13310000
2018-04-04,800.97,809.23,809.23,798.9,17370000
2018-04-03,806.03,819.91,820.53,799.76,20130000
2018-04-02,827.09,835.77,844.19,825.37,15250000
2018-03-30,835.97,841.45,843.53,835.57,12650000
2018-03-29,835.91,828.64,836.31,823.98,12700000
2018-03-28,826.8,835.38,836.07,822.26,16420000
2018-03-27,843.62,845.21,852.5,842.02,13820000
2018-03-26,837.47,841.12,844.23,832.43,13280000
2018-03-23,841.52,851.18,851.97,838.9,23130000
2018-03-22,871.11,867.86,877.04,866.89,19610000
2018-03-21,859.72,855.54,866.13,855.02,12450000
2018-03-20,859.66,854.66,859.9,849.75,9850000
2018-03-19,858.56,857.8,860.98,854.02,12320000
2018-03-16,857.99,848.97,860.84,848.97,16079999
2018-03-15,848.77,847.62,851.36,839.56,13570000
2018-03-14,849.8,850.55,856.15,847.43,13810000
2018-03-13,857.76,863.42,865.26,852.66,20650000
