,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2019-08-01,1.6417361827510706,-0.2424324578566837,-0.035401727631575,0.2996247726751222,-1.074047476691988,1.3781334937840877,-0.0427042753702611,-0.38615123482886,neutral,53.95,1186.31,17.87,0.0,0.74,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-02,1.6144507887873918,-0.5351606389078599,-0.0360347359546819,-0.0476135027344709,-1.3392308074773824,1.6201852222881683,-0.5333696780919334,-0.5040624985985125,up,55.66,1194.75,17.61,0.0,0.72,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-05,1.5824348002046231,-0.8506149771596875,-0.0344271455103561,-0.4772822292798732,-1.5405145404831642,1.8978327932193184,-0.8583633507181705,-0.724505296080906,up,54.69,1203.94,24.59,0.0,0.69,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-06,1.533397118483523,-0.1389844257124656,-0.036815028392571,-1.2057613411925812,-1.61879154776319,2.119713544348058,-1.4483163408141104,-1.057732780647315,up,53.63,1216.65,20.17,0.0,0.67,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-07,1.4857110352250191,-0.1068193385380911,-0.0378522846051866,-2.0197620461586907,-1.598024178484816,2.119713544348058,-1.39809529371201,-1.2422895413302488,up,51.09,1212.53,19.49,0.0,0.67,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-08,1.5135032786121718,-0.2194017893631541,-0.0375295130344935,-1.77040993147287,-1.535722070649693,1.990381983529702,-1.3213205895214424,-1.2012769278451525,up,52.54,1212.23,16.91,0.0,0.68,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-09,1.539521549017166,0.1810503091497409,-0.0376391926944378,-1.5189970555086536,-1.4766149427035509,1.8919001528148072,-1.556839982827845,-1.1397580076175076,up,54.5,1207.03,17.97,0.0,0.69,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-12,1.5600067132159028,-0.0510704265040729,-0.0367836913468726,-1.306738643833947,-1.447860123702725,1.8088431871516424,-1.4483163408141104,-1.0372264739047667,up,54.93,1213.2,21.09,0.0,0.69,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-13,1.543829769116694,0.0419495591329218,-0.0374166996699794,-1.5787591325821146,-1.4015329153125051,1.743584142702013,-1.5464494213584448,-0.9039354800782028,up,57.1,1217.63,17.52,0.0,0.69,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-14,1.5604713251874207,-0.1458870151349716,-0.0367648891194536,-1.4200805141456831,-1.3088784985320665,1.6308639750162892,-1.6388099677531127,-0.7501381795090911,up,55.23,1204.73,22.1,0.0,0.69,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-16,1.5431117324334394,0.2025389805415808,-0.039964401485256,-1.6982832867290374,-1.18107930297284,1.5264495038968815,-1.69653530924978,-0.5399485353979716,up,54.87,1211.5,18.47,0.0,0.69,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-19,1.5598377634080782,0.7251647260174187,-0.0411802788583523,-1.5540299972413725,-0.9909779995784908,1.3698277972177713,-1.3542240341745428,-0.9244417868207512,up,56.21,1207.49,16.88,0.0,0.73,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-20,1.6012727037770702,0.4500240266724576,-0.0375733848984712,-1.1563030705110964,-0.9654181604666456,1.2488019329657316,-1.242814125085975,-1.3807071118424497,up,56.34,1210.53,17.5,0.0,0.75,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-21,1.6395398352493502,0.1830091693602886,-0.037006184371331,-0.7245735826872987,-1.021330308523807,1.285584303473705,-1.455820635208677,-1.43197287869882,up,55.68,1205.28,15.8,0.0,0.75,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-22,1.6161825243175945,-0.2496462229094803,-0.0371315325541244,-1.086237187045659,-1.078839946525459,1.3899987745931115,-1.8414259164064148,-1.339694498357353,up,55.35,1201.32,16.68,0.0,0.74,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-23,1.6401311595767365,0.005232148304677,-0.0353484546538878,-0.8183382208542812,-1.098009825859343,1.482547964903495,-2.002479619182117,-1.2422895413302488,up,54.17,1208.56,19.87,0.0,0.74,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-26,1.6196037579260432,0.1123513811547697,-0.0378366160823374,-1.1295131738919582,-1.1235696649711882,1.58102979561839,-2.6126364788018903,-1.288428731500982,up,53.64,1212.65,19.32,0.0,0.73,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-27,1.6414405205873774,-0.2903606857956386,-0.0362822986156989,-0.9028294332684852,-1.054877597358104,1.5039054703597374,-2.156029027563252,-1.2217832345877004,up,54.93,1210.73,20.31,0.0,0.73,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-28,1.6100580937839513,0.0940872689750305,-0.0373884963288509,-1.368561482185803,-0.9558332207997036,1.4433925382337176,-2.1589152946380854,-1.2115300812164267,up,55.78,1210.76,19.35,0.0,0.72,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-29,1.633119742552014,0.0358439127433938,-0.0389177441589308,-1.1470296447583177,-0.7960842263506707,1.2333770679140008,-2.200477540515686,-1.1397580076175076,up,56.71,1211.37,17.88,0.0,0.73,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-08-30,1.650859472373601,0.610899898505408,-0.0376517275127171,-0.9728953167339224,-0.5916055134559086,1.025734653756089,-2.0521234128692507,-1.3755805351568122,up,55.1,1207.16,18.98,0.0,0.76,2830351.7,1.5,99.425,116.96,104.19,93.9,98.0,3.5,61.0,0.4,0.9
2019-09-03,1.6256859510077302,-0.1201401258536761,-0.0371879392363814,-1.4685084041879717,-0.359969471504811,0.7374083300968174,-1.2168377214124744,-1.3602008050999013,up,53.94,1212.77,19.66,0.0,0.76,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-04,1.6469313893416782,0.4091044908896427,-0.0383724795637794,-1.271705702101228,-0.1890380474443458,0.6306208028156057,-1.1123548533035066,-1.3089350382435303,up,56.26,1210.48,17.33,0.0,0.76,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-05,1.669486188686267,-0.1072974568333768,-0.0378240812640581,-1.0563561485089286,-0.0292890529953129,0.5167141070489798,-0.7313675994255022,-1.3038084615578935,up,56.3,1202.69,16.27,0.0,0.76,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-06,1.6952087969275678,-0.2211111794439638,-0.0376673960355663,-0.7987609887095269,0.1719946800104685,0.4680664557319833,-0.7273268255207356,-1.2474161180158858,up,56.52,1196.0,15.0,0.0,0.77,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-09,1.7246483009410107,0.0891243858309607,-0.0376423263990076,-0.483464513115059,0.3668884532382886,0.4739990961364951,-0.6020628344729674,-1.1961503511595153,neutral,57.85,1191.62,15.27,0.0,0.78,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
