날짜,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2014-05-09,-0.7092193447109489,-0.0485878571078097,0.2396659070532136,-0.8188236346938472,-0.160279425244006,-0.5792988071250545,-0.4472724850721605,-1.357027866032824,up,99.99,1021.91,12.92,24.59,0.96,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-12,-0.7092530013945904,-0.0487920887299182,-0.6184499807700007,-1.4296262147261565,-0.1260264171377564,-0.6922857137395845,-0.3043572147767987,-1.3445098220082217,up,100.59,1023.1,12.23,24.46,0.95,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-13,-0.7092247633606962,-0.0479586513617548,-0.5655091845978862,-1.1236974613420982,-0.0514037923348555,-0.8754780768912978,0.002910616358228,-1.3798548874894516,neutral,101.7,1023.23,12.13,24.82,0.97,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-14,-0.7091890842232759,-0.0474443609962448,-0.1841293738916833,-0.6869577927179601,-0.0130730451683381,-1.0104041886736974,0.2500349379106237,-1.4196180861558354,neutral,102.37,1022.6,12.17,25.04,0.97,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-15,-0.7091624107290974,-0.0489567182067016,0.0642450548553553,-0.3208982153928975,0.0024223632606795,-1.0115011489320909,0.6198281997998714,-1.3982637757609255,neutral,101.5,1027.74,13.17,25.11,0.98,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-16,-0.7091213129419298,-0.0477689089139366,-0.1056378646761625,0.3268268003926601,0.0109856152872418,-0.9401987321365138,0.2714722284549279,-1.3673368434648496,neutral,102.02,1028.24,12.44,25.15,0.98,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-19,-0.7090981501222355,-0.0479500287281419,-0.0528672420275967,0.7393031540932355,0.0179177716896971,-0.8996112025759547,-0.0357956026800989,-1.3423007554156448,neutral,102.61,999.83,12.42,25.21,0.98,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-20,-0.7091209695063825,-0.0488423574684618,0.2484266644501448,0.3932871847485075,0.0146555804414829,-0.8228239844884101,-0.1721605897535895,-1.3069556899344152,neutral,102.44,1021.7,12.96,25.15,0.98,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-21,-0.7091450099946978,-0.0483221851555438,-0.9771948428055122,-0.00020048770754,0.019956641219831,-0.7405519651088981,0.0428077959823498,-1.2892831571938002,neutral,104.07,1024.86,11.91,25.14,0.98,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-22,-0.7091282961313928,-0.0483702644264697,0.0019869777631439,0.2740804636023053,0.0297432149644738,-0.7120309983906673,0.3506711074102743,-1.3150556007738636,neutral,103.74,1025.95,12.03,25.45,0.99,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-23,-0.7091587474165922,-0.0490350871101762,0.1546554428586751,-0.2407237834715575,-0.0081797582960167,-0.5957532110009571,-0.2346860205078103,-1.3224191560824534,neutral,104.35,1023.98,11.36,25.39,0.99,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-27,-0.7091940831184652,-0.0488188091365222,0.2491275549625188,-0.8968882131435726,-0.0766857745085159,-0.437790933792294,-0.2144396905493006,-1.2546744472434292,neutral,104.11,1024.13,11.51,25.27,0.98,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-28,-0.7091759573534655,-0.0479496812207717,0.4159619373721793,-0.6584747708511681,-0.1052299479303906,-0.3390645105368798,-0.3853425346108368,-1.274556046576621,neutral,102.72,1024.38,11.68,25.4,0.99,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-29,-0.7091932054498442,-0.049245993270394,1.3869062373778482,-0.9738978648574904,-0.1574250079018185,-0.1920718359121517,-0.3353221900074605,-1.280446890823493,neutral,103.58,1020.9,11.57,25.0,0.97,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-30,-0.7092157958769595,-0.0492871104109042,0.0242086478766457,-1.4011431928593645,-0.1582405557138721,-0.0384973997370624,-0.8325482345767389,-1.341564399884786,neutral,102.71,1018.54,11.4,24.74,0.96,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-06-02,-0.7091917553886442,-0.0483246878933525,0.024869519560405,-1.1384664356433978,-0.1146087477690065,-0.0549518036129651,-0.7944374958313091,-1.3445098220082217,neutral,102.47,1020.2,11.58,24.87,0.97,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-03,-0.7091731335500762,-0.0477579923893089,0.245244980571401,-0.9253712350103638,-0.0787246440386498,-0.1317390217005095,-0.7974148972957956,-1.3091647565269922,neutral,102.66,1023.4,11.87,24.99,0.97,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-05,-0.7092045006634018,-0.0480010951929638,-0.4631376549316883,-1.500306306025232,-0.041209444684186,-0.2151080013384148,-1.180904205921682,-1.3047466233418383,neutral,102.48,1025.99,11.68,24.83,0.97,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-09,-0.7091530616503081,-0.0491600048826607,-0.4401915318179365,-0.917986747859714,0.0338209540247416,-0.3675854772551104,-1.0445392188481917,-1.3216828005515942,neutral,104.41,1019.0,11.15,25.04,0.97,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-10,-0.709126731591677,-0.0481711546863882,-0.0124631854364732,-0.565641218100144,0.092540396492598,-0.4290152517251462,-0.9957098348306096,-1.3312554224527606,neutral,104.35,1016.79,10.99,25.35,0.99,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-11,-0.7091064307348774,-0.0479189961488018,0.1663502910077803,-0.2734265122815778,0.1194534742903655,-0.4136578081076373,-0.7878872126094384,-1.307692045465274,neutral,104.4,1016.19,11.6,25.41,0.99,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-12,-0.7091298606711086,-0.0487761650178142,0.060513953600583,-0.6911774996611884,0.1443276825579992,-0.3983003644901283,-1.10527820872372,-1.295910356971531,neutral,106.53,1017.6,12.56,25.24,0.98,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-13,-0.7091086821456879,-0.0478177037419104,-0.7961440520362737,-0.3989627938426221,0.2038626728379092,-0.4191426093996048,-0.4151165492557038,-1.276028757638339,neutral,106.91,1017.34,12.18,25.39,0.99,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-16,-0.7090843363813305,-0.048267915802596,-0.0845677644066306,-0.0413426304040169,0.2638054370238459,-0.4630210197353444,0.1624993348547149,-1.3224191560824534,neutral,106.9,1017.3,12.65,25.73,1.0,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-17,-0.7091060109803196,-0.0486547565562104,0.116011840718856,-0.4084571344648863,0.2752231063925958,-0.3653915567383234,0.313751329250639,-1.3069556899344152,neutral,106.36,1019.5,12.06,25.73,1.0,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-18,-0.7091297843520981,-0.0490137676186106,-0.5463012688860439,-0.8378123159383749,0.2907185148216135,-0.2151080013384148,0.448329875445438,-1.274556046576621,neutral,105.97,1023.76,10.61,25.6,0.99,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-19,-0.7091090255812353,-0.0478405159744945,0.2815319599158792,-0.5635313646285295,0.3274181663640237,-0.0527578830961777,1.042023727464085,-1.276028757638339,neutral,106.43,1017.86,10.62,25.89,1.0,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-20,-0.7091529090122871,-0.0493152978806423,0.0947431423372267,-1.4211868008396995,0.3245637490218363,0.0382898183504819,0.4953728185843277,-1.3032739122801205,neutral,107.26,1019.23,10.85,25.49,0.99,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-23,-0.7091246709783929,-0.0483897060087493,-0.3330921702590385,-1.0751708314949715,0.3861376088318801,0.1666341685825208,0.993789823739401,-1.3445098220082217,up,106.17,1020.5,10.98,25.61,0.99,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-24,-0.7090990659503618,-0.0484100771304476,-0.0919768578165182,-0.7302097888860507,0.4326238341189332,0.3509234919926276,1.2951028519454535,-1.3496643107242343,neutral,106.03,1018.09,12.13,25.69,1.0,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-25,-0.7090603722120258,-0.0484672292538945,-0.1727217636900184,-0.1299564762118127,0.4721779030035308,0.4715891204159116,0.8336056249500163,-1.3312554224527606,neutral,106.5,1018.55,11.59,25.72,1.0,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-26,-0.7090336987178473,-0.047694805963006,-0.1420808052499149,0.3500351885804162,0.5052075893917002,0.5560550603122105,0.9413875579644344,-1.3216828005515942,neutral,105.84,1018.28,11.63,25.91,1.01,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-27,-0.709003247432648,-0.0483718256418469,-0.6493093597326369,0.972441962706604,0.5121397457941554,0.605418271939918,0.6192327195069742,-1.3018012012184026,neutral,105.74,1015.6,11.26,26.92,1.0,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-06-30,-0.7089824505022799,-0.0480140522534793,0.2145325866521815,1.4482139205556046,0.5076542328278608,0.6383270796917225,0.9485333214792028,-1.323155511613312,neutral,105.37,1013.3,11.57,27.18,1.01,1999693.7,2.5,94.248,116.42,106.76,98.6,99.4,3.5,60.4,0.9,1.3
2014-07-01,-0.7090004999482691,-0.0481780397831504,-0.2353878832310025,1.181317456396409,0.4574980423865667,0.5527641795370304,1.1783887145375758,-1.3025375567492612,neutral,105.34,1011.0,11.15,27.08,1.01,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-02,-0.7089813820361326,-0.0487593203255864,0.6054694172424256,1.6286063923786176,0.4036718867910317,0.4792678422246661,1.1140768429046632,-1.2767651131691975,neutral,104.48,1010.53,10.82,27.1,1.01,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-03,-0.7090046593343426,-0.0492635090113366,0.7360362687102991,1.3005241775426113,0.3282337141760773,0.347632611217447,0.5852903428118258,-1.307692045465274,neutral,104.06,1008.8,10.32,26.72,0.99,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-07,-0.7090490006794575,-0.0486339266563092,0.7901387329354733,0.5937232645518559,0.2536110893731764,0.2061247378846865,0.1511852092896656,-1.312110178650428,neutral,103.53,1008.8,11.33,26.49,0.98,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-08,-0.7090673172419835,-0.0488810163794965,1.1271982519624693,0.2709156833948839,0.2279213332934892,0.2039308173678996,-0.2055074861558406,-1.3253645782058892,down,103.4,1010.6,11.98,26.25,0.98,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-09,-0.7090865496326357,-0.04804743521518,-0.1791206621831919,-0.0835396998363006,0.2328146201658106,0.2576818700291806,-0.8373120769199175,-1.3356735556379145,down,102.29,1010.8,11.65,26.08,0.97,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-10,-0.7090641500030467,-0.0486682186151209,0.3672309723672378,0.3215521667136249,0.2642132109298727,0.4562316767984027,-0.6408035802637957,-1.3032739122801205,down,102.93,1011.0,12.59,26.12,0.97,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-11,-0.7090821612895306,-0.048223544418191,-0.0243162388613171,-0.0023103411791538,0.2919418365396938,0.609806112973492,-1.0165516450820165,-1.2767651131691975,down,100.83,1012.2,12.08,25.95,0.96,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-14,-0.7091016226372144,-0.0492593919905228,-0.8944273030521193,-0.369424845240024,0.3506612790075503,0.8226164031018294,-1.424455645716694,-1.2318474257868015,down,100.91,1018.5,11.82,25.83,0.96,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-15,-0.7090867785896673,-0.0488073174272818,-0.4525670740612363,-0.1278466227401981,0.4428181817696027,1.0518810971060697,-1.1618488365489672,-1.2200657372930586,down,99.96,1018.2,11.96,26.15,0.97,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-16,-0.7090617841137205,-0.0488121945134767,-0.6067196018852095,0.3067831924123255,0.5019453981434859,1.2910184334358512,-0.1388136933513388,-1.2458381808731218,down,101.2,1025.9,11.0,26.26,0.98,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-17,-0.7090411779808787,-0.0483977637289034,0.1503655740342727,0.6960511579251442,0.5529171363968335,1.4511746311613014,0.4221287425579548,-1.2436291142805451,down,103.19,1031.1,14.54,26.51,0.98,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-18,-0.7090194652223845,-0.0479096237209617,0.300095086276957,1.139120386964125,0.5712669621680386,1.4873743196882865,0.7645299109739249,-1.2023932045524437,down,103.13,1028.0,12.06,26.54,0.99,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-21,-0.709039613441163,-0.0492235199858852,0.971072833288564,0.8426859742023307,0.5830924054428153,1.531252730024026,0.6305468450720235,-1.2031295600833023,down,104.59,1027.9,12.81,26.18,0.97,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-22,-0.709022021909237,-0.04812663950583,-0.2928908258651972,1.198196284169322,0.6503750999372341,1.5850037826853074,0.7216553298853164,-1.21196582645361,down,104.42,1026.0,12.24,26.25,0.97,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-23,-0.7090061857145531,-0.0481848701004257,-0.5140790057040421,1.5294432792127508,0.7192888900557601,1.737481258602003,1.0223728777984726,-1.1869297384044053,down,103.12,1022.6,11.52,26.37,0.98,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-24,-0.7089832136923852,-0.048271414842323,0.0906197069589324,2.035808112400157,0.7800472020537506,1.8669225690924351,1.2147130124043133,-1.1832479607501107,down,102.07,1022.9,11.84,26.52,0.99,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-25,-0.709012863627974,-0.0487295545218814,0.1067192443098673,1.6961217034702718,0.8183779492202679,1.908607058911388,1.0700113012302594,-1.1655754280094957,down,102.09,1028.4,12.69,26.46,0.98,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-28,-0.709034538226963,-0.0483235186936785,-0.5088514994652739,1.4250055323678483,0.8701652352856689,1.9777155551901773,1.26473335700769,-1.1228668072196764,down,101.67,1025.1,12.56,26.46,0.98,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-29,-0.7090090476774478,-0.0480562358821254,-0.1481255184094608,1.996775823175296,0.9252147125992845,2.062181495086477,1.7571955592337891,-1.1294940069974069,down,100.97,1025.63,13.28,26.75,0.99,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-30,-0.7090415214164261,-0.0491387401705821,0.2069170409675712,1.6011782972476334,0.9337779646258468,2.035854448885033,1.8572362484405427,-1.1110851187259332,down,100.27,1023.8,13.33,26.68,0.99,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-07-31,-0.7090155729528477,-0.0481546643489664,-0.3251209432098243,2.2372991189393137,0.94478786008857,1.983200356482145,2.1049560502858355,-1.1029852078864846,down,98.17,1023.6,16.95,26.76,0.99,2011298.2,2.5,94.386,125.86,113.97,98.5,99.3,3.5,60.5,0.3,1.2
2014-08-01,-0.7089903876793745,-0.0481646393511627,-0.4377926461475165,2.9230014972139267,0.9337779646258468,1.952485469247128,1.9048746718723293,-1.0875217417384464,down,97.88,1032.39,17.03,27.0,1.0,2030272.2,2.25,94.551,119.4,105.69,98.4,99.4,3.6,60.7,0.3,1.2
2014-08-04,-0.7090161835049319,-0.0490495865556202,1.2922493654484375,2.681423274714101,0.8766896177820974,1.865825608834041,1.917975238316071,-1.0727946311212675,down,98.29,1036.7,15.12,26.98,1.0,2030272.2,2.25,94.551,119.4,105.69,98.4,99.4,3.6,60.7,0.3,1.2
