,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2015-06-12,-0.6556577065302297,-0.0313738459697922,0.0303475357489786,0.4609270767764447,0.7272493407956979,0.9482963752798604,0.9335073924206858,-0.8567601237492045,down,59.96,1110.4,13.78,10.52,1.46,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-15,-0.6556467375479209,-0.031334220077922,1.9561298828895428,0.900283040988276,0.7322613609780427,0.9268206224334532,1.110188144004984,-0.8356013257020284,down,59.52,1110.35,15.39,10.49,1.46,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-16,-0.655654410916711,-0.0317226205631371,0.2807160171533741,0.6566797340985474,0.7290035478595187,0.8827388139592486,1.32899562283536,-0.8575157951080322,down,59.97,1114.53,14.81,10.34,1.44,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-17,-0.6556398634883799,-0.0306609247400463,-0.7852526653650301,1.24937527987936,0.779374350692084,0.8940418417731474,1.1837527274048512,-0.8590271378256878,down,59.92,1116.77,14.5,10.37,1.44,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-18,-0.6556512013826498,-0.0317254738700604,0.6384765691273344,0.9133332181430824,0.8076922647223322,0.943775164154301,1.276808781620069,-0.8295559548314067,down,60.45,1111.59,13.19,10.41,1.45,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-19,-0.6556419908806886,-0.0314111320907881,-0.2529681079993165,1.3015759884985871,0.8445306130625666,0.9324721363404026,1.1409972430356976,-0.8163317060519215,down,59.61,1103.25,13.96,10.42,1.45,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-22,-0.6556307267688111,-0.0315654356141566,-1.0654491608282324,1.806182838484453,0.8756051381931046,0.9482963752798604,1.2164480978047931,-0.7917723868900206,down,59.68,1101.22,12.74,10.48,1.46,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-23,-0.6556219958523994,-0.031255744517979,0.3932165833190437,2.2205259631495715,0.9006652391048287,0.9211691085265038,1.472981004019717,-0.7709914245222582,down,61.01,1098.78,12.11,10.69,1.49,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-24,-0.6556350430387554,-0.0313913720523854,1.0849996712048888,1.9225469181148152,0.8796147543389803,0.8081388303875177,1.7483766239269147,-0.7464321053603573,down,60.27,1103.97,13.26,10.59,1.47,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-25,-0.6556448806910503,-0.0316652428991997,0.5855861755993288,1.680031125987987,0.8585642695731321,0.6984994605927013,1.2283944831432332,-0.7309408425043891,down,59.7,1107.92,14.01,10.43,1.45,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
