날짜,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2020-09-17,-0.4151537540449215,-1.021973003194641,-0.0451161140325248,-0.4715587413783825,-0.2583094589165534,0.3726808633257161,0.4378736838663699,-1.1640885515678292,up,40.97,1172.07,26.46,8.11,0.7,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-18,-0.3963416895102505,0.6485445705596793,-0.0449535367901001,-0.2549384272857037,-0.3626355027710128,0.4923588816706603,0.897806408210026,-1.081924001156536,up,41.11,1168.65,25.83,8.22,0.71,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-21,-0.4191441919765183,-0.9040547383432418,-0.0443845164416135,-0.5503297646848108,-0.5447318702260694,0.6006989824881891,0.6092877250424187,-1.0408417259508893,up,39.31,1163.99,27.78,8.08,0.69,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-22,-0.4398659660927392,-1.833128295835148,-0.0448303722125056,-0.8260283462573106,-0.7021693545882536,0.7266758439039199,-0.0152703655792242,-1.1589532671671234,up,39.6,1163.85,26.86,7.89,0.68,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-23,-0.4827061676012398,-0.8246797850404025,-0.0446653316785289,-1.4318150254948447,-0.8045985612817229,0.977369798121224,-0.2313765165008434,-1.1846296891706525,up,39.93,1162.5,28.58,7.46,0.64,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-24,-0.5466386838910381,-2.171889038107012,-0.0449165874168217,-2.519605347345525,-0.8975435821702412,1.2179856034252698,-1.3696110077424608,-1.4362586248052378,up,40.31,1169.73,28.51,7.14,0.61,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-25,-0.5023163197222301,-0.3314708403811246,-0.0452392786101193,-2.237342513830823,-0.8463289788235067,1.2028683800553823,-1.41713173202889,-1.4670703312094724,up,40.25,1168.5,26.38,7.14,0.61,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-28,-0.4790862703347198,0.6172635084721803,-0.045559506511865,-2.0732362152757635,-0.7704554923838998,1.042877766057404,-1.1772652189640562,-1.4670703312094724,up,40.6,1173.44,26.19,7.27,0.62,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-29,-0.4609582808740369,0.1628483144911869,-0.0451998659452891,-1.9391379255993435,-0.7268282376811258,0.9106020615708864,-0.9351358142665352,-1.523558459617237,up,39.29,1166.41,26.27,7.4,0.64,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-10-05,-0.4413196256249638,0.8210399982469467,-0.0452565216509825,-1.7862846303737734,-0.7268282376811258,0.8866664579018979,0.086559757891696,-1.54409959722006,up,39.22,1165.36,27.96,7.54,0.65,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-06,-0.4587635400116586,-0.4074348091271578,-0.0449338304576849,-2.088240219715084,-0.783733352510831,0.8791078462169538,0.1470921090660759,-1.5492348816207655,up,40.67,1156.09,29.48,7.49,0.64,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-07,-0.4404930349105616,0.7749376067423687,-0.0453747596454733,-1.959768431703408,-0.8216700957306344,0.9269790535549318,-0.300960434205972,-1.508152606415119,up,39.95,1163.89,28.06,7.53,0.65,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-08,-0.4246167925684226,-0.0436009966611819,-0.0450816279507983,-1.8463006481310524,-0.8785752105603396,0.9395767396965048,0.2839970528436463,-1.48247618441159,up,41.19,1156.5,26.36,7.55,0.65,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-12,-0.4051206529597637,0.0897663250211147,-0.0449289038745812,-1.7037626059575155,-0.948758185516976,1.0327996171441456,0.3626325370795235,-1.4054469184010026,up,39.43,1142.65,25.07,7.57,0.65,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-13,-0.4208828827895712,-0.0894111160941155,-0.0447195240926705,-1.9438266769866304,-1.0341158577615337,1.1461787924183031,0.1233317469228615,-1.3181470835890037,up,40.2,1146.4,26.07,7.51,0.65,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-14,-0.4345643842693319,-0.9476300843616504,-0.0447860329645715,-2.150131738027277,-1.0986083212351994,1.2381419012517862,-0.5866505028327201,-1.3284176523904156,up,41.04,1147.89,26.4,7.38,0.63,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-15,-0.4180610731093706,0.6271266270594158,-0.0455324103047942,-2.055418960004072,-1.1061956698791602,1.2381419012517862,-0.4797288731882541,-1.2667942395819456,up,40.96,1146.31,26.97,7.42,0.64,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-16,-0.4007026681069243,0.8848607359627844,-0.0453476634384025,-1.9578929311484927,-1.1137830185231208,1.1650753216306626,-0.4395625467080578,-1.3181470835890037,up,40.88,1144.13,27.41,7.52,0.65,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-19,-0.379011787635887,-0.030801538280305,-0.0449707798309633,-1.8322343939691903,-1.161203947547875,1.1600362471740335,-0.2347708539498742,-1.3027412303868862,up,40.83,1141.18,29.18,7.56,0.65,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-20,-0.3533019661051701,1.1327945923343068,-0.0452639115256382,-1.6793810987436204,-1.2237995738605507,1.2431809757084162,-0.5651530323221925,-1.2051708267734758,up,41.46,1137.0,29.35,7.58,0.65,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-21,-0.3288177790820151,0.9069455817318264,-0.0452195722777042,-1.5312165549053385,-1.2996730603001576,1.3275854728569552,-0.7722076167130634,-1.2154413955748873,up,40.03,1136.0,28.65,7.62,0.65,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-22,-0.3467177435180353,-0.357201903740253,-0.0449609266647557,-1.7393971165008992,-1.394514918349666,1.497654235768192,-0.9979310570736024,-1.1281415607628882,up,40.64,1132.03,28.11,7.62,0.65,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
2020-10-23,-0.3281907102641927,1.2297254556604875,-0.0450471418690719,-1.637182336258034,-1.4950472878821452,1.7382700410722385,-0.643222793649898,-1.020300588348066,up,39.85,1134.15,27.55,7.64,0.66,3154881.6,0.5,100.18,108.07,106.95,83.9,99.7,4.2,59.9,1.3,1.0
