,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2018-07-06,-1.3642980877355766,1.0552398209595264,0.0231766892415553,1.1619892491603403,0.6982037514482411,-0.313624610048372,0.6670167691632588,-0.4225782809179906,neutral,73.8,1117.76,13.37,14.59,1.0,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-09,-1.4349159766534565,0.0489787650145469,0.0233708005091941,0.9168826037570772,0.7005090362965022,-0.2252411111723862,0.6598236449510047,-0.3496120597206849,neutral,73.85,1113.65,12.69,14.57,1.0,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-10,-1.5035195969277058,-1.2164157082430396,0.0238817887799649,0.667707798264133,0.7066564625585321,-0.161279368564765,0.4746006964854562,-0.2478433827876,neutral,74.11,1112.48,12.64,14.55,1.0,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-11,-1.593450767546281,0.7176945815123748,0.022204847398278,0.3198801105964313,0.7212565999308531,-0.1089470337039841,0.3175508178512375,-0.1115117589715808,down,70.38,1112.56,13.63,14.54,1.0,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-12,-1.4997280324220477,-0.7825626821572762,0.0227672558723968,0.7928037210218155,0.7350883090204202,-0.0275411794761027,0.3517181578594454,-0.0596673386471793,down,70.33,1127.17,12.58,14.6,1.01,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-13,-1.4081380523322469,0.4028072223263001,0.0243105047253789,1.3023407722543243,0.6974353231654874,-0.0438223503216791,0.7731153512940099,-0.0116632457542149,down,71.01,1122.65,12.18,14.71,1.01,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-16,-1.4870499886062538,0.0871129581802412,0.0238335823393261,1.0368933264026583,0.5621919454008304,-0.1356946715217167,0.3559141469832604,0.0766642851688398,down,68.06,1129.85,12.83,14.62,1.01,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-17,-1.5778105639604418,-1.3564870035603471,0.0244133451320749,0.70838939916094,0.4446224181395093,-0.1857011248331295,0.1814808848360934,0.1688321435233309,down,68.08,1126.9,12.06,14.53,1.0,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-18,-1.6662014114985937,-1.284465089275822,0.0277048808988892,0.3615787515156591,0.3516425959263077,-0.212448762650862,0.2030602574728567,0.1016264134731811,down,68.76,1125.55,12.1,14.35,0.99,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-19,-1.7442839430369876,-1.008460199897424,0.0246691606437313,0.0351089043187813,0.3501057393608002,-0.210122881101494,-0.0846647110173155,-0.1806376527374495,down,69.46,1131.09,12.87,14.14,0.97,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
