"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 12- 16","1,446.46","1,437.29","1,450.47","1,435.71","5.02K","1.52%"
"2015- 12- 15","1,424.81","1,439.19","1,439.77","1,423.92","4.19K","-0.63%"
"2015- 12- 14","1,433.78","1,423.81","1,433.78","1,417.14","3.97K","-0.22%"
"2015- 12- 11","1,436.88","1,437.07","1,442.15","1,428.41","5.10K","0.17%"
"2015- 12- 10","1,434.43","1,438.00","1,446.14","1,427.77","6.20K","-0.27%"
"2015- 12- 09","1,438.32","1,440.16","1,451.01","1,435.23","4.66K","0.34%"
"2015- 12- 08","1,433.50","1,436.54","1,444.44","1,430.72","4.47K","-0.33%"
"2015- 12- 07","1,438.27","1,451.42","1,453.37","1,438.27","4.18K","-0.17%"
"2015- 12- 04","1,440.67","1,444.60","1,453.30","1,438.77","5.36K","-1.26%"
"2015- 12- 03","1,459.08","1,467.57","1,467.57","1,447.48","4.34K","-0.90%"
"2015- 12- 02","1,472.38","1,478.51","1,483.64","1,472.35","4.83K","-0.42%"
"2015- 12- 01","1,478.60","1,467.99","1,483.59","1,467.73","5.81K","1.47%"
"2015- 11- 30","1,457.18","1,472.04","1,473.29","1,453.20","13.97K","-1.01%"
"2015- 11- 27","1,472.12","1,472.35","1,472.69","1,465.09","4.98K","0.47%"
"2015- 11- 26","1,465.23","1,457.97","1,469.44","1,456.39","5.21K","0.69%"
"2015- 11- 25","1,455.21","1,468.15","1,469.36","1,452.98","5.31K","-0.83%"
"2015- 11- 24","1,467.37","1,457.20","1,471.76","1,454.19","6.09K","0.39%"
"2015- 11- 23","1,461.72","1,440.79","1,461.78","1,439.72","5.03K","1.41%"
"2015- 11- 20","1,441.46","1,438.90","1,441.46","1,434.50","4.60K","-0.10%"
"2015- 11- 19","1,442.92","1,430.18","1,442.98","1,427.70","5.66K","1.44%"
"2015- 11- 18","1,422.48","1,432.52","1,434.12","1,417.86","5.86K","-0.52%"
"2015- 11- 17","1,429.95","1,429.05","1,438.09","1,423.01","5.33K","0.89%"
"2015- 11- 16","1,417.29","1,396.41","1,419.99","1,395.08","6.19K","0.36%"
"2015- 11- 13","1,412.21","1,404.75","1,416.62","1,400.25","5.56K","0.18%"
"2015- 11- 12","1,409.68","1,420.89","1,421.52","1,407.94","4.49K","-0.54%"
"2015- 11- 11","1,417.37","1,406.52","1,421.70","1,406.52","5.19K","0.70%"
"2015- 11- 10","1,407.50","1,429.13","1,429.54","1,400.06","7.45K","-2.19%"
"2015- 11- 09","1,439.02","1,449.47","1,452.97","1,436.12","6.43K","-0.96%"
"2015- 11- 06","1,452.97","1,455.62","1,460.40","1,452.46","5.98K","-0.62%"
"2015- 11- 05","1,461.97","1,464.01","1,465.60","1,449.89","6.77K","-0.50%"
"2015- 11- 04","1,469.26","1,462.36","1,472.70","1,460.41","5.92K","0.29%"
"2015- 11- 03","1,465.03","1,455.43","1,465.03","1,451.37","7.69K","0.93%"
"2015- 11- 02","1,451.57","1,457.78","1,460.45","1,446.97","8.32K","-0.43%"
"2015- 10- 30","1,457.79","1,468.36","1,472.45","1,454.83","7.30K","-0.70%"
"2015- 10- 29","1,468.14","1,480.25","1,489.01","1,464.35","9.19K","-1.62%"
