"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 17","1,456.72","1,450.00","1,456.76","1,437.12","9.69M","1.43%"
"2023- 03- 16","1,436.13","1,438.92","1,442.35","1,421.86","7.92M","-1.09%"
"2023- 03- 15","1,452.00","1,438.34","1,461.68","1,437.19","9.36M","2.13%"
"2023- 03- 14","1,421.70","1,456.67","1,458.67","1,420.65","11.92M","-3.00%"
"2023- 03- 13","1,465.64","1,462.96","1,468.99","1,450.56","12.68M","0.10%"
"2023- 03- 10","1,464.14","1,466.99","1,474.58","1,461.76","8.20M","-1.02%"
"2023- 03- 09","1,479.25","1,474.07","1,490.55","1,474.07","12.43M","0.58%"
"2023- 03- 08","1,470.79","1,460.99","1,473.16","1,459.66","9.85M","-0.17%"
"2023- 03- 07","1,473.33","1,485.84","1,489.32","1,473.33","11.92M","-1.30%"
"2023- 03- 06","1,492.76","1,496.98","1,498.91","1,484.30","9.73M","0.43%"
"2023- 03- 03","1,486.42","1,494.57","1,500.82","1,478.06","10.54M","-0.15%"
"2023- 03- 02","1,488.62","1,467.94","1,497.90","1,467.94","14.87M","1.88%"
"2023- 02- 28","1,461.17","1,464.99","1,481.89","1,460.38","13.99M","0.31%"
"2023- 02- 27","1,456.69","1,456.30","1,458.81","1,432.75","6.85M","-0.77%"
"2023- 02- 24","1,468.01","1,478.50","1,486.82","1,465.37","6.77M","-0.71%"
"2023- 02- 23","1,478.56","1,463.86","1,492.73","1,463.64","8.33M","1.40%"
"2023- 02- 22","1,458.21","1,470.17","1,472.62","1,456.70","9.88M","-1.81%"
"2023- 02- 21","1,485.08","1,490.28","1,491.52","1,473.16","7.57M","-0.11%"
"2023- 02- 20","1,486.67","1,482.21","1,491.57","1,471.63","7.15M","0.22%"
"2023- 02- 17","1,483.38","1,477.11","1,492.54","1,474.56","7.47M","-0.54%"
"2023- 02- 16","1,491.41","1,460.51","1,494.00","1,459.47","11.82M","2.82%"
"2023- 02- 15","1,450.57","1,469.92","1,476.61","1,445.12","10.88M","-1.13%"
"2023- 02- 14","1,467.16","1,461.22","1,479.76","1,457.21","9.93M","1.07%"
"2023- 02- 13","1,451.56","1,453.91","1,460.60","1,440.31","11.31M","-0.36%"
"2023- 02- 10","1,456.83","1,450.70","1,458.29","1,443.19","17.47M","0.25%"
"2023- 02- 09","1,453.25","1,451.68","1,468.71","1,448.70","12.51M","-0.37%"
"2023- 02- 08","1,458.67","1,451.08","1,460.08","1,443.15","9.18M","0.88%"
"2023- 02- 07","1,445.99","1,444.72","1,446.18","1,435.11","8.62M","0.31%"
"2023- 02- 06","1,441.49","1,458.85","1,460.34","1,441.49","9.75M","-1.28%"
"2023- 02- 03","1,460.21","1,437.18","1,466.90","1,434.05","13.41M","1.71%"
"2023- 02- 02","1,435.72","1,448.13","1,454.85","1,431.24","11.67M","-0.26%"
"2023- 02- 01","1,439.49","1,425.44","1,445.25","1,424.52","9.73M","1.55%"
"2023- 01- 31","1,417.52","1,429.36","1,436.75","1,416.19","10.51M","-0.87%"
"2023- 01- 30","1,429.92","1,457.74","1,463.46","1,428.40","9.88M","-1.59%"
"2023- 01- 27","1,453.03","1,468.92","1,476.22","1,449.26","12.23M","-0.62%"
"2023- 01- 26","1,462.10","1,422.13","1,466.62","1,419.98","13.03M","3.36%"
"2023- 01- 25","1,414.57","1,414.45","1,421.50","1,410.78","7.70M","0.80%"
"2023- 01- 20","1,403.38","1,396.32","1,404.01","1,394.09","6.17M","0.26%"
"2023- 01- 19","1,399.78","1,390.01","1,401.64","1,386.99","6.27M","-0.21%"
"2023- 01- 18","1,402.71","1,408.78","1,411.01","1,392.35","8.87M","-0.48%"
"2023- 01- 17","1,409.43","1,413.68","1,417.94","1,402.53","7.03M","0.02%"
"2023- 01- 16","1,409.18","1,408.36","1,416.30","1,394.80","9.24M","-0.54%"
"2023- 01- 13","1,416.84","1,409.66","1,427.38","1,409.66","11.20M","1.38%"
"2023- 01- 12","1,397.61","1,410.91","1,411.65","1,396.77","12.00M","-0.34%"
"2023- 01- 11","1,402.34","1,408.66","1,413.25","1,395.86","7.10M","0.13%"
"2023- 01- 10","1,400.50","1,403.73","1,409.67","1,392.66","8.37M","-0.15%"
"2023- 01- 09","1,402.60","1,380.83","1,407.69","1,370.57","9.80M","2.63%"
"2023- 01- 06","1,366.72","1,342.80","1,376.33","1,341.96","9.72M","0.84%"
"2023- 01- 05","1,355.31","1,346.67","1,362.52","1,343.30","8.81M","0.66%"
"2023- 01- 04","1,346.37","1,340.34","1,353.50","1,334.37","7.19M","-0.27%"
"2023- 01- 03","1,350.02","1,346.02","1,357.09","1,319.60","9.68M","0.45%"
"2023- 01- 02","1,343.91","1,341.96","1,358.22","1,337.12","10.49M","1.25%"
"2022- 12- 29","1,327.27","1,349.29","1,349.77","1,325.84","9.62M","-2.48%"
"2022- 12- 28","1,361.00","1,362.12","1,369.46","1,354.92","11.46M","-2.20%"
"2022- 12- 27","1,391.63","1,384.00","1,395.60","1,381.74","11.11M","1.04%"
"2022- 12- 26","1,377.29","1,368.79","1,381.74","1,363.88","7.12M","0.69%"
"2022- 12- 23","1,367.88","1,366.43","1,379.46","1,366.30","8.32M","-1.11%"
"2022- 12- 22","1,383.18","1,360.09","1,384.46","1,359.11","9.40M","2.06%"
"2022- 12- 21","1,355.24","1,356.69","1,363.63","1,347.68","10.45M","0.09%"
"2022- 12- 20","1,354.03","1,358.60","1,360.81","1,339.45","15.70M","-0.66%"
"2022- 12- 19","1,363.06","1,374.23","1,377.40","1,354.87","10.59M","-1.49%"
"2022- 12- 16","1,383.71","1,367.87","1,390.83","1,366.61","14.45M","0.22%"
"2022- 12- 15","1,380.68","1,382.79","1,397.09","1,379.90","6.31M","-0.62%"
"2022- 12- 14","1,389.25","1,366.91","1,393.67","1,363.16","9.30M","1.98%"
"2022- 12- 13","1,362.28","1,397.18","1,397.18","1,356.87","10.38M","-2.14%"
"2022- 12- 12","1,392.01","1,402.00","1,404.98","1,389.19","5.58M","-0.82%"
"2022- 12- 09","1,403.46","1,404.71","1,406.52","1,392.40","7.51M","0.77%"
"2022- 12- 08","1,392.75","1,402.80","1,403.79","1,385.84","9.58M","-0.59%"
"2022- 12- 07","1,400.97","1,397.40","1,409.65","1,390.93","7.47M","0.22%"
"2022- 12- 06","1,397.90","1,405.73","1,409.37","1,392.99","7.91M","-1.07%"
"2022- 12- 05","1,412.97","1,430.41","1,435.01","1,407.18","10.62M","-0.69%"
"2022- 12- 02","1,422.82","1,430.93","1,438.52","1,420.76","9.14M","-0.90%"
"2022- 12- 01","1,435.74","1,442.74","1,445.29","1,429.89","8.41M","0.62%"
"2022- 11- 30","1,426.92","1,405.92","1,429.09","1,404.55","15.45M","1.14%"
"2022- 11- 29","1,410.87","1,395.40","1,412.91","1,384.20","8.55M","1.38%"
"2022- 11- 28","1,391.62","1,383.88","1,397.50","1,373.61","6.02M","-0.25%"
"2022- 11- 25","1,395.09","1,404.28","1,407.14","1,392.72","5.34M","-0.49%"
"2022- 11- 24","1,402.01","1,413.63","1,415.52","1,396.97","6.82M","0.00%"
"2022- 11- 23","1,402.08","1,395.59","1,404.88","1,389.18","10.67M","0.88%"
"2022- 11- 22","1,389.83","1,404.90","1,405.74","1,387.52","6.79M","-1.39%"
"2022- 11- 21","1,409.41","1,424.16","1,425.64","1,401.63","7.80M","-0.81%"
"2022- 11- 18","1,420.98","1,418.28","1,434.54","1,414.08","6.71M","0.26%"
"2022- 11- 17","1,417.28","1,438.25","1,440.74","1,417.28","7.80M","-1.34%"
"2022- 11- 16","1,436.57","1,453.75","1,455.20","1,428.26","8.87M","-1.15%"
"2022- 11- 15","1,453.31","1,464.05","1,464.17","1,445.46","11.00M","-0.52%"
"2022- 11- 14","1,460.91","1,448.94","1,473.05","1,446.73","15.09M","1.54%"
"2022- 11- 11","1,438.81","1,443.39","1,452.80","1,424.85","16.66M","1.92%"
"2022- 11- 10","1,411.64","1,408.68","1,427.57","1,402.93","10.57M","-0.56%"
"2022- 11- 09","1,419.53","1,424.58","1,429.85","1,413.11","9.88M","0.27%"
"2022- 11- 08","1,415.71","1,425.40","1,428.08","1,409.05","8.53M","0.06%"
"2022- 11- 07","1,414.87","1,401.40","1,416.44","1,400.15","9.66M","1.67%"
"2022- 11- 04","1,391.60","1,368.20","1,391.95","1,361.78","10.02M","1.44%"
"2022- 11- 03","1,371.88","1,373.96","1,380.24","1,363.77","10.35M","-1.76%"
"2022- 11- 02","1,396.39","1,385.58","1,400.81","1,375.59","8.74M","0.27%"
"2022- 11- 01","1,392.69","1,388.33","1,399.97","1,382.12","6.79M","0.13%"
