"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 06- 19","974.03","974.39","977.04","964.51","1.68K","0.72%"
"2015- 06- 18","967.04","975.90","978.91","962.27","1.81K","-0.44%"
"2015- 06- 17","971.27","980.68","982.25","967.36","1.81K","-0.91%"
"2015- 06- 16","980.21","991.59","996.77","968.78","2.58K","-0.47%"
"2015- 06- 15","984.81","980.17","987.01","973.69","1.77K","0.36%"
"2015- 06- 12","981.32","995.02","998.22","977.48","1.95K","-1.29%"
"2015- 06- 11","994.10","991.14","994.10","980.84","2.56K","0.42%"
"2015- 06- 10","989.95","988.78","990.65","980.43","1.79K","0.55%"
"2015- 06- 09","984.52","972.78","987.70","972.78","1.76K","1.36%"
"2015- 06- 08","971.35","963.26","973.39","956.41","1.53K","0.39%"
"2015- 06- 05","967.60","975.23","977.67","964.09","2.04K","-1.51%"
"2015- 06- 04","982.47","985.67","989.53","976.70","2.07K","-0.28%"
"2015- 06- 03","985.25","996.59","1,000.33","981.67","1.46K","-0.81%"
"2015- 06- 02","993.29","995.69","1,004.21","992.64","1.82K","-0.56%"
"2015- 06- 01","998.90","1,014.13","1,015.16","993.99","1.73K","-1.43%"
"2015- 05- 29","1,013.44","994.75","1,017.76","993.51","2.16K","2.05%"
"2015- 05- 28","993.10","993.35","997.49","989.61","1.93K","0.00%"
"2015- 05- 27","993.11","1,005.79","1,010.07","988.87","2.34K","-2.35%"
"2015- 05- 26","1,017.04","1,018.62","1,024.33","1,010.92","1.53K","-0.40%"
"2015- 05- 22","1,021.17","1,007.54","1,023.24","1,005.40","2.22K","1.96%"
"2015- 05- 21","1,001.55","1,009.58","1,014.17","1,001.20","2.69K","-0.74%"
"2015- 05- 20","1,009.06","1,008.83","1,011.32","1,003.64","3.46K","-0.32%"
"2015- 05- 19","1,012.33","1,019.79","1,021.22","1,006.56","2.14K","-1.01%"
"2015- 05- 18","1,022.63","1,016.65","1,022.63","1,011.71","1.67K","0.44%"
"2015- 05- 15","1,018.17","1,038.26","1,042.54","1,018.12","2.23K","-1.33%"
"2015- 05- 14","1,031.90","1,028.86","1,038.46","1,024.34","1.68K","0.39%"
"2015- 05- 13","1,027.90","1,018.36","1,030.52","1,016.72","1.42K","1.03%"
"2015- 05- 12","1,017.46","1,014.51","1,020.82","1,009.36","1.66K","0.15%"
"2015- 05- 11","1,015.89","1,022.24","1,025.28","1,012.93","1.51K","-0.17%"
"2015- 05- 08","1,017.64","1,015.75","1,019.16","1,008.19","1.37K","0.23%"
"2015- 05- 07","1,015.28","1,028.03","1,028.90","1,002.87","1.85K","-1.44%"
"2015- 05- 06","1,030.10","1,031.92","1,035.22","1,021.20","2.43K","-0.07%"
"2015- 05- 04","1,030.79","1,018.01","1,033.50","1,007.53","2.16K","1.38%"
"2015- 04- 30","1,016.71","1,024.76","1,025.14","1,010.43","1.96K","-1.27%"
"2015- 04- 29","1,029.80","1,037.10","1,038.94","1,023.12","2.46K","-0.31%"
"2015- 04- 28","1,033.04","1,021.00","1,035.42","1,018.76","3.85K","1.79%"
"2015- 04- 27","1,014.89","1,020.55","1,021.66","1,011.10","2.65K","-0.30%"
"2015- 04- 24","1,017.90","1,016.94","1,024.77","1,012.94","3.13K","0.44%"
"2015- 04- 23","1,013.45","987.34","1,017.00","981.99","3.36K","2.83%"
"2015- 04- 22","985.58","990.06","996.21","975.44","3.54K","-0.95%"
"2015- 04- 21","995.00","1,000.59","1,001.79","993.27","2.57K","-0.33%"
"2015- 04- 20","998.34","992.25","1,000.23","991.10","2.25K","0.09%"
"2015- 04- 17","997.43","995.82","999.10","991.93","2.94K","0.05%"
"2015- 04- 16","996.91","989.20","997.61","981.67","2.54K","0.90%"
