"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 12- 12","1,572.62","1,563.00","1,576.43","1,559.95","3.82M","0.26%"
"2022- 12- 09","1,568.49","1,592.82","1,595.23","1,559.18","6.46M","-1.45%"
"2022- 12- 08","1,591.50","1,601.42","1,607.64","1,576.46","5.67M","-0.42%"
"2022- 12- 07","1,598.18","1,609.96","1,622.70","1,596.86","4.51M","-1.15%"
"2022- 12- 06","1,616.76","1,627.30","1,637.84","1,612.24","5.18M","-1.62%"
"2022- 12- 05","1,643.40","1,654.25","1,655.48","1,632.55","5.18M","-0.45%"
"2022- 12- 02","1,650.81","1,673.35","1,678.19","1,650.81","4.53K","-1.93%"
"2022- 12- 01","1,683.22","1,717.33","1,720.47","1,681.36","5.90M","-0.81%"
"2022- 11- 30","1,696.96","1,666.16","1,697.85","1,652.40","9.16M","1.35%"
"2022- 11- 29","1,674.36","1,656.93","1,678.73","1,645.51","4.47M","0.84%"
"2022- 11- 28","1,660.39","1,671.48","1,680.88","1,651.84","6.28M","-0.98%"
"2022- 11- 25","1,676.80","1,669.79","1,686.61","1,662.02","6.24M","0.42%"
"2022- 11- 24","1,669.83","1,661.75","1,671.88","1,646.98","14.33M","1.73%"
"2022- 11- 23","1,641.36","1,635.61","1,649.45","1,627.62","4.89M","1.34%"
"2022- 11- 22","1,619.62","1,626.01","1,651.97","1,617.79","5.78M","-0.69%"
"2022- 11- 21","1,630.81","1,648.39","1,650.10","1,616.99","5.65M","-1.06%"
"2022- 11- 18","1,648.31","1,649.32","1,675.50","1,644.73","5.40M","-0.23%"
"2022- 11- 17","1,652.14","1,681.11","1,685.31","1,652.14","5.60M","-1.79%"
"2022- 11- 16","1,682.21","1,689.39","1,689.62","1,652.31","7.84M","-0.19%"
"2022- 11- 15","1,685.38","1,705.21","1,709.82","1,675.96","6.67M","-0.75%"
"2022- 11- 14","1,698.17","1,703.65","1,724.72","1,694.61","11.39M","0.09%"
"2022- 11- 11","1,696.59","1,699.43","1,711.62","1,681.76","10.53M","3.07%"
"2022- 11- 10","1,646.04","1,651.52","1,675.10","1,645.66","8.28M","-1.47%"
"2022- 11- 09","1,670.55","1,647.95","1,671.74","1,639.11","8.89M","1.58%"
"2022- 11- 08","1,644.56","1,654.48","1,658.56","1,619.98","7.61M","-0.09%"
"2022- 11- 07","1,646.03","1,624.87","1,646.03","1,618.39","10.84M","1.95%"
"2022- 11- 04","1,614.49","1,615.45","1,623.49","1,594.10","7.47M","-0.33%"
"2022- 11- 03","1,619.91","1,585.41","1,631.64","1,580.07","7.92M","0.41%"
"2022- 11- 02","1,613.31","1,610.35","1,636.23","1,603.98","9.35M","-0.12%"
"2022- 11- 01","1,615.28","1,551.76","1,618.33","1,551.27","10.19M","5.00%"
"2022- 10- 31","1,538.32","1,544.39","1,545.93","1,516.12","6.67M","0.59%"
"2022- 10- 28","1,529.26","1,518.65","1,549.27","1,514.98","10.09M","0.23%"
"2022- 10- 27","1,525.72","1,470.91","1,525.72","1,469.96","12.97M","5.06%"
"2022- 10- 26","1,452.17","1,451.85","1,468.69","1,448.03","6.40M","0.34%"
"2022- 10- 25","1,447.30","1,473.12","1,473.33","1,440.35","6.98M","-1.43%"
"2022- 10- 24","1,468.25","1,494.59","1,508.01","1,463.86","6.97M","-0.06%"
"2022- 10- 21","1,469.07","1,477.59","1,489.92","1,459.51","6.61M","-1.02%"
"2022- 10- 20","1,484.20","1,505.62","1,507.90","1,468.85","7.83M","-2.27%"
"2022- 10- 19","1,518.71","1,510.64","1,541.25","1,501.34","7.84M","-0.37%"
"2022- 10- 18","1,524.33","1,504.08","1,524.40","1,494.04","8.28M","3.41%"
"2022- 10- 17","1,474.05","1,446.46","1,475.12","1,432.38","6.07M","0.02%"
"2022- 10- 14","1,473.73","1,465.75","1,490.80","1,458.05","6.86M","2.61%"
"2022- 10- 13","1,436.21","1,481.20","1,481.84","1,436.21","7.27M","-3.02%"
"2022- 10- 12","1,481.01","1,454.14","1,481.01","1,440.81","6.46M","1.23%"
"2022- 10- 11","1,462.96","1,458.02","1,469.57","1,452.31","6.51M","-1.52%"
